image,channel,param,quality,repeat,seed,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_geometric,bsc,0.01,10,1,123,13.46826547336395,0.6153929530380616,32.88859150217464,0.17134240000000034,0.004043099999989863,0.005098899999993023,0.0053540999999910355,0.30270980000000236,0.08512159999999369,0.0096435546875,0.010308631649381063,47824,95660
synthetic_geometric,bsc,0.01,10,1,456,12.49141598257115,0.5265759336753316,32.88859150217464,0.16648119999999267,0.004208300000001941,0.006228800000002366,0.00464110000000062,0.2930785000000071,0.08609390000000872,0.010355631510416666,0.012002341920374707,47824,95660
synthetic_gradient,bsc,0.01,10,1,42,12.980223223590588,0.5068369105417373,35.08351177730193,0.1614481000000012,0.0042055000000118525,0.004390800000010131,0.004416300000002593,0.28806029999999794,0.08559139999999843,0.010031960227272728,0.01101891506067095,44832,89676
synthetic_gradient,bsc,0.01,10,1,123,13.82698290526238,0.5554158119487055,35.08351177730193,0.17008780000000456,0.00407350000000406,0.005087199999991299,0.004754199999993602,0.28337940000000117,0.08691100000000063,0.009710138494318182,0.009747501784439686,44832,89676
synthetic_gradient,bsc,0.01,10,1,456,13.839581723395726,0.5543158065797055,35.08351177730193,0.16634530000000325,0.0037216000000057647,0.005030199999993101,0.004858799999993835,0.2901071000000002,0.0852012000000002,0.010387073863636364,0.009881334760885083,44832,89676
synthetic_noise,bsc,0.01,10,1,42,7.79574341557209,0.17230565937589146,10.870728740462235,0.18571529999999825,0.015382500000001187,0.01636919999999975,0.016670700000005922,0.9119115000000022,0.1865210999999931,0.010087754991319444,0.01066432599800951,144688,289388
synthetic_noise,bsc,0.01,10,1,123,7.827525829014204,0.17312546935391107,10.870728740462235,0.18312629999999785,0.01505569999999068,0.017405100000004836,0.016193099999995297,0.9224942000000027,0.17777479999999457,0.009897867838541666,0.010519186110803937,144688,289388
synthetic_noise,bsc,0.01,10,1,456,7.770172044921585,0.1690300003279994,10.870728740462235,0.18524749999998846,0.014095600000004538,0.017643500000005474,0.016613700000007725,0.9320007999999831,0.17920219999999176,0.010114881727430556,0.010767997346013492,144688,289388
synthetic_nature,bsc,0.01,50,1,42,11.127327117165198,0.3728140012236274,15.718580108730412,0.17291760000000522,0.010494699999995305,0.012883500000000936,0.011381299999996486,0.6313869999999895,0.20017290000001253,0.009892578125,0.011042932523185162,100064,200140
synthetic_nature,bsc,0.01,50,1,123,11.177661664834421,0.3792111841423846,15.718580108730412,0.1755242999999922,0.00990660000000787,0.01273500000000638,0.012371500000000424,0.6490072999999938,0.21005350000000078,0.00982421875,0.01056323952670291,100064,200140
synthetic_nature,bsc,0.01,50,1,456,10.908905237938303,0.361141656674606,15.718580108730412,0.18758409999999515,0.010883100000000923,0.012913999999994985,0.012647799999996323,0.6523576000000162,0.20833659999999554,0.0102783203125,0.01101295171090502,100064,200140
synthetic_geometric,bsc,0.01,50,1,42,12.086350509654464,0.5948327505497921,24.736789129340714,0.17800400000000138,0.005775300000010475,0.006931800000003818,0.0065687999999966,0.4133059999999915,0.19984359999999413,0.0097808837890625,0.011370785103170609,63584,127180
synthetic_geometric,bsc,0.01,50,1,123,12.532291477565368,0.5806500183593525,24.736789129340714,0.17054190000000347,0.006067200000003936,0.007338199999992412,0.006815599999995925,0.3948500999999993,0.19788890000000947,0.00968170166015625,0.011433694011071967,63584,127180
synthetic_geometric,bsc,0.01,50,1,456,13.004606785414218,0.6233790804601672,24.736789129340714,0.17504800000000387,0.006624000000002184,0.007720400000010841,0.007172799999992208,0.40952120000000036,0.196855400000004,0.0103759765625,0.011402239557121288,63584,127180
synthetic_gradient,bsc,0.01,50,1,42,14.29557769350626,0.6002814134122264,23.982434740180533,0.17138570000000186,0.006142799999992121,0.008323399999994763,0.008100299999995286,0.42683940000000575,0.22451660000000118,0.009844611672794117,0.010459868260551354,65584,131180
synthetic_gradient,bsc,0.01,50,1,123,14.724787048486874,0.6470915728373602,23.982434740180533,0.17106229999998845,0.006271099999992202,0.007313699999997425,0.006815599999995925,0.41967239999999606,0.22428999999999633,0.009772805606617647,0.009941449133935106,65584,131180
synthetic_gradient,bsc,0.01,50,1,456,14.297587097199136,0.6105741130656762,23.982434740180533,0.1734656000000001,0.006028400000005263,0.007860200000010309,0.007795899999990752,0.41790059999999585,0.22513800000000117,0.010332892922794117,0.010810563552085874,65584,131180
synthetic_noise,bsc,0.01,50,1,42,6.339997655529579,0.13072402191501784,2.0039343192914147,0.2936286999999993,0.07758780000000343,0.09648099999999715,0.09291559999999777,5.392628400000007,0.3412507999999974,0.009931564331054688,0.01050213533650661,784888,1569788
synthetic_noise,bsc,0.01,50,1,123,6.3412308539959605,0.1260853830260178,2.0039343192914147,0.29069229999998925,0.07750599999999963,0.09665199999999174,0.09472309999999595,5.46202670000001,0.33632240000000024,0.010034561157226562,0.010651201190488324,784888,1569788
synthetic_noise,bsc,0.01,50,1,456,6.386813512081,0.13047876266673095,2.0039343192914147,0.2912407999999971,0.07895030000000247,0.0992243999999971,0.09329730000000325,5.440117599999994,0.33566170000000284,0.010082244873046875,0.010624445780799298,784888,1569788
synthetic_nature,bsc,0.01,90,1,42,12.251887498826859,0.2957236613892233,8.404565468302483,0.1890302000000048,0.01853309999999908,0.021618700000004765,0.02228309999999567,1.1906938000000054,0.48749839999999267,0.01005753226902174,0.010767109819176677,187144,374300
synthetic_nature,bsc,0.01,90,1,123,12.482448777938126,0.30146068560172484,8.404565468302483,0.18936919999998736,0.01847739999999476,0.02373529999999846,0.021671599999990576,1.224613799999986,0.48814130000002365,0.010081415591032608,0.010751079382721327,187144,374300
synthetic_nature,bsc,0.01,90,1,456,12.17930656345823,0.27815939616927937,8.404565468302483,0.19508279999999445,0.01941009999998755,0.02256760000000213,0.02279050000001348,1.1989282999999773,0.4939958999999874,0.01017960258152174,0.010900696789637926,187144,374300
synthetic_geometric,bsc,0.01,90,1,42,12.080523828301184,0.48111910250002815,14.708461135632527,0.1757137999999827,0.010074000000003025,0.013252199999982395,0.011287699999996903,0.6698636000000135,0.3948744000000204,0.009905779803240741,0.011025286152465025,106936,213884
