image,channel,param,quality,repeat,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_noise,bec,0.0,10,1,11.184136235535199,0.3643531495829448,10.870728740462235,0.22526099999998905,0.016635100000002012,0.021146200000004,0.0005592999999919357,2.906934399999983,0.21733679999999822,0.0,0.0,144688,289388
synthetic_nature,bec,0.0,50,1,40.95311169419615,0.974870048636307,15.718580108730412,0.2162544999999909,0.010144400000001497,0.01430980000000659,0.0005169000000080359,2.024324799999988,0.2479835000000037,0.0,0.0,100064,200140
synthetic_geometric,bec,0.0,50,1,35.69254752126956,0.9641260722097083,24.736789129340714,0.2089441999999906,0.005543699999975615,0.006950299999999743,0.00035489999999072097,1.315757700000006,0.2457345999999916,0.0,0.0,63584,127180
synthetic_gradient,bec,0.0,50,1,43.76490571708616,0.9724601105959613,23.982434740180533,0.20462569999997982,0.006799400000005562,0.008503000000018801,0.00022490000000630062,1.3016489999999976,0.2673661999999979,0.0,0.0,65584,131180
synthetic_noise,bec,0.0,50,1,16.768891644360977,0.8766829435621992,2.0039343192914147,0.3708948000000021,0.09520229999998264,0.1194708000000162,0.003133300000001782,16.477493400000014,0.41077110000000516,0.0,0.0,784888,1569788
synthetic_nature,bec,0.0,90,1,48.868770471478,0.99478220476724,8.404565468302483,0.2241275000000087,0.022185199999995575,0.027378900000002204,0.0010555000000067594,3.775862399999994,0.5893192999999997,0.0,0.0,187144,374300
synthetic_geometric,bec,0.0,90,1,45.280790064546835,0.9927041627282011,14.708461135632527,0.22150110000001177,0.011883000000011634,0.015170399999988149,0.0005065999999942505,2.1851544999999817,0.46441659999999274,0.0,0.0,106936,213884
synthetic_gradient,bec,0.0,90,1,55.20071739817696,0.9973214293602456,16.096937940068774,0.23140069999999469,0.010182899999989559,0.013309200000009014,0.0003669000000172673,1.9918944999999724,0.5247367999999994,0.0,0.0,97712,195436
synthetic_noise,bec,0.0,90,1,29.989860150824082,0.9937565187221153,0.9429188048534842,0.4935337000000004,0.1960803999999996,0.24195929999999066,0.005746399999992491,35.86447660000002,0.9549948999999742,0.0,0.0,1668080,3336172
synthetic_nature,bec,0.05,10,1,19.956699369702,0.7583597435112144,28.887452248016455,0.2408892999999921,0.00691969999999742,0.008088299999997162,0.00793429999998807,1.0956874999999968,0.10883190000001264,0.04945591517857143,0.0013407287687334706,54448,108908
synthetic_geometric,bec,0.05,10,1,21.35317107651058,0.8432884983521385,32.88859150217464,0.20881909999999948,0.0042236000000173135,0.00517930000000888,0.005934300000006942,0.9513407000000313,0.10646389999999428,0.049418131510416664,0.001212780194044831,47824,95660
synthetic_gradient,bec,0.05,10,1,21.867183903231346,0.8106162921872864,35.08351177730193,0.19050680000000852,0.004709999999988668,0.005791999999985364,0.0053581999999892105,0.8841748000000109,0.10570020000000113,0.04953835227272727,0.0010706638115631692,44832,89676
